total_score	interface_delta_X	description
-1189.894	-14.179	47885_37128_water_0054
-1187.047	-14.062	47885_37128_water_0033
-1187.352	-13.431	47885_37128_water_0011
-1188.335	-12.662	47885_37128_water_0010
-1188.276	-10.740	47885_37128_water_0009
-1190.296	-10.659	47885_37128_water_0062
-1187.714	-10.502	47885_37128_water_0013
-1185.606	-10.232	47885_37128_water_0087
-1186.642	-10.111	47885_37128_water_0025
-1190.269	-9.973	47885_37128_water_0063
-1128.279	-9.831	47885_37128_water_0043
-1184.976	-9.377	47885_37128_water_0022
-1184.622	-9.365	47885_37128_water_0041
-1185.910	-9.263	47885_37128_water_0006
-1185.174	-9.150	47885_37128_water_0049
-1184.983	-9.133	47885_37128_water_0072
-1184.254	-8.841	47885_37128_water_0097
-1183.063	-8.721	47885_37128_water_0076
-1178.721	-8.549	47885_37128_water_0084
-1182.781	-8.124	47885_37128_water_0074
-1188.954	-7.878	47885_37128_water_0059
-1178.105	-7.873	47885_37128_water_0042
-1182.703	-7.865	47885_37128_water_0005
-1176.142	-7.654	47885_37128_water_0001
-1175.604	-7.557	47885_37128_water_0086
-1180.897	-7.320	47885_37128_water_0066
-1182.690	-7.320	47885_37128_water_0094
-1180.100	-6.948	47885_37128_water_0016
-1181.471	-6.580	47885_37128_water_0065
-1182.562	-6.469	47885_37128_water_0026
-1180.610	-6.289	47885_37128_water_0018
-1179.624	-6.012	47885_37128_water_0070
-1173.861	-5.942	47885_37128_water_0036
-1180.432	-5.874	47885_37128_water_0028
-1178.299	-5.760	47885_37128_water_0069
-1174.682	-5.678	47885_37128_water_0089
-1175.334	-5.648	47885_37128_water_0058
-1164.052	-5.589	47885_37128_water_0053
-1164.848	-5.345	47885_37128_water_0038
-1172.109	-5.341	47885_37128_water_0092
-1179.413	-5.108	47885_37128_water_0002
-1169.977	-4.897	47885_37128_water_0083
-1177.815	-4.608	47885_37128_water_0055
-1179.878	-4.596	47885_37128_water_0029
-1179.764	-4.426	47885_37128_water_0060
-1170.490	-4.216	47885_37128_water_0098
-1171.598	-4.165	47885_37128_water_0040
-1178.871	-3.566	47885_37128_water_0007
-1181.553	-3.342	47885_37128_water_0032
-1176.825	-3.318	47885_37128_water_0046
-1172.992	-3.273	47885_37128_water_0023
-1173.119	-2.992	47885_37128_water_0056
-1168.151	-2.698	47885_37128_water_0030
-1176.522	-2.519	47885_37128_water_0035
-1174.611	-2.126	47885_37128_water_0024
-1174.165	-1.995	47885_37128_water_0061
-1174.761	-1.599	47885_37128_water_0021
-1166.636	-1.355	47885_37128_water_0044
-1176.397	-1.279	47885_37128_water_0090
-1176.391	-1.058	47885_37128_water_0031
-1165.790	-1.034	47885_37128_water_0037
-1169.407	-0.990	47885_37128_water_0048
-1165.894	-0.603	47885_37128_water_0034
-1169.194	-0.567	47885_37128_water_0075
-1166.046	-0.019	47885_37128_water_0088
-1161.545	0.516	47885_37128_water_0080
-1167.956	0.565	47885_37128_water_0027
-1165.212	0.650	47885_37128_water_0051
-1171.767	0.660	47885_37128_water_0020
-1170.958	0.816	47885_37128_water_0091
-1167.070	1.092	47885_37128_water_0004
-1170.813	1.352	47885_37128_water_0079
-1173.949	1.723	47885_37128_water_0039
-1155.226	2.121	47885_37128_water_0017
-1159.258	2.581	47885_37128_water_0067
-1158.071	4.043	47885_37128_water_0003
-1163.350	4.071	47885_37128_water_0082
-1143.030	4.430	47885_37128_water_0052
-1157.960	5.180	47885_37128_water_0047
-1132.836	5.439	47885_37128_water_0093
-1150.987	5.691	47885_37128_water_0078
-1153.597	6.242	47885_37128_water_0096
-1134.594	6.995	47885_37128_water_0085
-1150.875	7.328	47885_37128_water_0057
-1155.648	7.370	47885_37128_water_0050
-1156.889	7.587	47885_37128_water_0095
-1131.415	7.804	47885_37128_water_0071
-1127.951	7.868	47885_37128_water_0081
-1163.659	7.974	47885_37128_water_0012
-1159.329	7.975	47885_37128_water_0014
-1127.423	9.348	47885_37128_water_0019
-1141.142	9.946	47885_37128_water_0015
-1133.464	10.765	47885_37128_water_0073
-1125.473	11.164	47885_37128_water_0100
-1143.150	12.422	47885_37128_water_0077
-1114.126	14.084	47885_37128_water_0099
-1122.448	15.003	47885_37128_water_0064
-1129.130	18.730	47885_37128_water_0068
-1131.701	25.244	47885_37128_water_0045
-999.312	74.286	47885_37128_water_0008
