total_score	interface_delta_X	description	 file
-1175.742	-15.279	45683_37289_water_0047	37289_45683_scores.out
-1177.382	-15.128	47909_37289_water_0013	37289_47909_scores.out
-1189.874	-14.907	47913_37128_water_0080	37128_47913_scores.out
-1177.318	-14.386	45683_37289_water_0039	37289_45683_scores.out
-1191.634	-14.307	47957_37128_water_0012	37128_47957_scores.out
-1189.894	-14.179	47885_37128_water_0054	37128_47885_scores.out
-1162.123	-14.178	47960_37301_water_0024	37301_47960_scores.out
-1187.047	-14.062	47885_37128_water_0033	37128_47885_scores.out
-1180.121	-14.053	47909_37346_water_0091	37346_47909_scores.out
-1180.075	-13.787	47957_37301_water_0040	37301_47957_scores.out
-1190.329	-13.749	47905_37128_water_0091	37128_47905_scores.out
-1188.328	-13.689	47905_37128_water_0034	37128_47905_scores.out
-1178.146	-13.556	45685_37301_water_0048	37301_45685_scores.out
-1187.430	-13.475	47956_37128_water_0053	37128_47956_scores.out
-1187.352	-13.431	47885_37128_water_0011	37128_47885_scores.out
-1188.229	-13.401	47913_37128_water_0021	37128_47913_scores.out
-1175.881	-13.354	45686_37289_water_0036	37289_45686_scores.out
-1175.353	-13.275	45685_37289_water_0051	37289_45685_scores.out
-1176.957	-13.140	47905_37301_water_0006	37301_47905_scores.out
-1179.730	-13.131	47907_37301_water_0017	37301_47907_scores.out
-1191.902	-13.112	47962_37128_water_0028	37128_47962_scores.out
-1181.775	-13.043	45686_37128_water_0076	37128_45686_scores.out
-1177.292	-13.042	47905_37301_water_0098	37301_47905_scores.out
-1177.722	-13.025	45685_37346_water_0002	37346_45685_scores.out
-1181.378	-12.946	47907_37346_water_0021	37346_47907_scores.out
-1185.616	-12.936	45686_37128_water_0072	37128_45686_scores.out
-1174.137	-12.926	45683_37301_water_0005	37301_45683_scores.out
-1175.694	-12.873	47913_37301_water_0061	37301_47913_scores.out
-1176.138	-12.870	47908_37289_water_0013	37289_47908_scores.out
-1173.296	-12.852	45685_37301_water_0023	37301_45685_scores.out
-1188.335	-12.662	47885_37128_water_0010	37128_47885_scores.out
-1187.093	-12.564	45686_37128_water_0091	37128_45686_scores.out
-1177.952	-12.534	47913_37301_water_0090	37301_47913_scores.out
-1174.349	-12.533	45689_37289_water_0001	37289_45689_scores.out
-1174.676	-12.514	47885_37289_water_0089	37289_47885_scores.out
-1189.823	-12.490	47913_37128_water_0067	37128_47913_scores.out
-1174.543	-12.489	47959_37301_water_0024	37301_47959_scores.out
-1174.632	-12.463	47907_37289_water_0002	37289_47907_scores.out
-1185.207	-12.459	47885_37301_water_0050	37301_47885_scores.out
-1179.121	-12.448	45689_37289_water_0040	37289_45689_scores.out
-1176.448	-12.429	45689_37289_water_0032	37289_45689_scores.out
-1176.345	-12.409	45688_37346_water_0086	37346_45688_scores.out
-1189.030	-12.404	45686_37128_water_0059	37128_45686_scores.out
-1176.257	-12.392	47907_37301_water_0012	37301_47907_scores.out
-1176.847	-12.379	45686_37301_water_0079	37301_45686_scores.out
-1188.507	-12.351	47955_37128_water_0038	37128_47955_scores.out
-1176.850	-12.341	47905_37301_water_0005	37301_47905_scores.out
-1192.021	-12.305	47913_37128_water_0023	37128_47913_scores.out
-1177.226	-12.303	45683_37346_water_0089	37346_45683_scores.out
-1177.550	-12.233	45686_37301_water_0021	37301_45686_scores.out
-1174.043	-12.208	45684_37289_water_0039	37289_45684_scores.out
-1173.175	-12.185	45685_37301_water_0027	37301_45685_scores.out
-1180.700	-12.153	47907_37346_water_0040	37346_47907_scores.out
-1174.473	-12.119	47885_37301_water_0075	37301_47885_scores.out
-1187.639	-12.107	47955_37128_water_0056	37128_47955_scores.out
-1176.003	-12.101	45683_37301_water_0064	37301_45683_scores.out
-1185.888	-12.082	47955_37128_water_0040	37128_47955_scores.out
-1176.791	-12.081	45686_37301_water_0046	37301_45686_scores.out
-1176.758	-12.079	45683_37289_water_0050	37289_45683_scores.out
-1174.340	-12.039	45685_37289_water_0083	37289_45685_scores.out
-1175.278	-12.022	47905_37301_water_0062	37301_47905_scores.out
-1178.503	-12.011	45680_37346_water_0006	37346_45680_scores.out
-1174.497	-11.999	47954_37301_water_0005	37301_47954_scores.out
-1173.376	-11.992	47911_37289_water_0027	37289_47911_scores.out
-1183.625	-11.959	47960_37128_water_0016	37128_47960_scores.out
-1174.792	-11.930	47909_37289_water_0074	37289_47909_scores.out
-1170.880	-11.919	45683_37301_water_0052	37301_45683_scores.out
-1185.442	-11.912	47913_37128_water_0012	37128_47913_scores.out
-1178.811	-11.889	47959_37301_water_0037	37301_47959_scores.out
-1181.870	-11.875	47885_37301_water_0048	37301_47885_scores.out
-1176.626	-11.859	45686_37289_water_0002	37289_45686_scores.out
-1182.745	-11.858	47905_37346_water_0027	37346_47905_scores.out
-1047.194	-11.847	47909_37289_water_0035	37289_47909_scores.out
-1185.782	-11.834	47958_37128_water_0059	37128_47958_scores.out
-1178.843	-11.831	47909_37346_water_0052	37346_47909_scores.out
-1189.081	-11.825	47960_37128_water_0008	37128_47960_scores.out
-1175.402	-11.805	45685_37301_water_0099	37301_45685_scores.out
-1171.628	-11.772	47885_37346_water_0090	37346_47885_scores.out
-1176.211	-11.746	45686_37301_water_0094	37301_45686_scores.out
-1184.330	-11.709	47958_37128_water_0001	37128_47958_scores.out
-1161.656	-11.690	45685_37301_water_0001	37301_45685_scores.out
-1184.459	-11.677	45683_37346_water_0007	37346_45683_scores.out
-1187.242	-11.661	47962_37128_water_0059	37128_47962_scores.out
-1184.197	-11.652	45686_37128_water_0047	37128_45686_scores.out
-1184.193	-11.646	45685_37128_water_0004	37128_45685_scores.out
